,7859
StationName,En Puerto Aysen
Provider ID,1124
Country code,CL
StationLat,-45.4058
StationLon,-72.6231
Height,
Height Units,
DrainingArea.km2.Provider,11635.6
Catchment Area Units,km2
Added Date,
River,Aisen
Catchment,Aisen
EC_Catchments,2
Calibration ID,7859
DrainingArea.km2.LDD,11590.36
LisfloodX,-72.675
LisfloodY,-45.425
RealTime,NO
PostProcess,False
FixedRepPoint,True
HasWL,False
HasD,False
Alive D,False
StartDate_hist_24,
EndDate_hist_24,
StartDate_nrt_24,
EndDate_nrt_24,
StartDate_hist_6,
EndDate_hist_6,
StartDate_nrt_6,
EndDate_nrt_6,
DiffDays_hist_24,
DiffDays_nrt_24,
DiffDays_hist_6,
DiffDays_nrt_6,
cal_hist_24h,True
cal_nrt_24h,False
cal_hist_6h,False
cal_nrt_6h,False
CAL_TYPE,24
Notes,
EC_calib,2
Dam/Lake,
EnoughQdata,
Val_Start,
Val_End,
Cal_Start,
Cal_End,
CatchmentArea,
SamplingFrequency,1
Spinup_days,1095
Min_calib_days,1460
Obs_start,31/12/1995 00:00
Obs_end,10/03/2018 00:00
Split_date,25/08/1996 00:00
N_data,7543
precip_budyko,48905.93618131823
PET_budyko,17313.987706667314
min_TAvgS,-20.756855
min_AridIdx,0.6428098
