FID,LAK_ID,RES_ID,GLWD_ID,HYLAK_ID,GRAND_ID,INT_CODE,LAKE_NAME,COUNTRY,LONG_DD,LAT_DD,LisfloodX,LisfloodY,CATCH_SKM,CATCH_SRC,AREA_SKM,AREA_SRC,WIDTH_M,WIDTH_SRC,DISAVG_CMS,DIS_SRC
2,2,,9,2,,,Great Bear,Canada,-123.5055,65.1384,-123.475,65.125,147665,HYLAK,30450.6,HYLAK,495.2,GLOFAS4,470.211,GLOFAS4_ltr
3,3,,49,26,,,Dubawnt,Canada,-100.6994,63.5701,-100.725,63.525,54612.5,HYLAK,3583.21,HYLAK,1633.7,GLOFAS4,293.972,GLOFAS4_ltr
4,4,,59,119,,,Khovsgol,Mongolia,100.152,50.4237,100.175,50.425,7714.6,HYLAK,2767.8,HYLAK,135.5,GLOFAS4,11.2082,GLOFAS4_ltr
5,5,,75,123,,,Hulun,China,117.7127,49.3665,117.5742,49.3749,133702,HYLAK,2121.43,HYLAK,99.4,GLOFAS4,8.331,GLOFAS4_ltr
6,6,,78,151,,,Poyang,China,116.2211,29.7518,116.175,29.725,162422,HYLAK,2398.32,HYLAK,1286.7,GLOFAS4,4108.2052,GLOFAS4_ltr
7,7,,97,25,,,Baker,Canada,-94.1865,64.0563,-94.175,64.075,244119,HYLAK,1664.7,HYLAK,3005.4,GLOFAS4,1331.3525,GLOFAS4_ltr
8,8,,100,27,,,Martre,Canada,-117.1325,63.0983,-117.075,63.075,13423.7,HYLAK,1679.89,HYLAK,191.6,GLOFAS4,41.7124,GLOFAS4_ltr
10,10,,126,28,,,Yathkyed,Canada,-97.6094,63.0588,-97.625,63.025,52564.8,HYLAK,1336.49,HYLAK,1039.1,GLOFAS4,330.4929,GLOFAS4_ltr
11,11,,135,139,,,Sevan,Armenia,44.9909,40.5525,44.975,40.575,4729.2,HYLAK,1242.22,HYLAK,5.4,GLOFAS4,23.0189,GLOFAS4_ltr
12,12,,152,24,,,Aberdeen,Canada,-97.9242,64.7197,-97.925,64.725,150857,HYLAK,1102.61,HYLAK,2443.4,GLOFAS4,779.2458,GLOFAS4_ltr
13,13,,184,287,,,Mackay,Canada,-109.8699,64.1198,-109.825,64.125,31398,HYLAK,966.57,HYLAK,975.9,GLOFAS4,46.2889,GLOFAS4_ltr
14,14,,218,1040,,,Khantayskoye,Russia,89.3068,68.3559,89.425,68.325,11983.6,HYLAK,901.17,HYLAK,600,GLOFAS4,224.3712,GLOFAS4_ltr
15,15,,226,290,,,Aylmer,Canada,-107.9364,64.0743,-108.025,64.075,40140.4,HYLAK,800.94,HYLAK,1205.4,GLOFAS4,98.3433,GLOFAS4_ltr
16,16,,230,15398,,,,China,112.5591,28.8433,112.825,28.825,120701,HYLAK,81.6,HYLAK,581.9,GLOFAS4,3990.5356,GLOFAS4_ltr
17,17,,232,278,,,Point,Canada,-111.2914,64.5498,-114.1763,65.6245,17351.5,HYLAK,976.92,HYLAK,5.4,GLOFAS4,122.2509,GLOFAS4_ltr
18,18,,233,1430,,,Chao,China,117.8469,31.5899,117.825,31.575,10681.8,HYLAK,786.91,HYLAK,225.9,GLOFAS4,268.6298,GLOFAS4_ltr
21,21,,275,307,,,Clinton Colden,Canada,-107.2884,63.6949,-107.325,63.675,45138.8,HYLAK,595.23,HYLAK,5.4,GLOFAS4,110.7862,GLOFAS4_ltr
22,22,,286,1613,,,Murray,Papua New Guinea,141.4952,-7.2464,141.525,-7.275,7161.5,HYLAK,586.81,HYLAK,865.7,GLOFAS4,407.2883,GLOFAS4_ltr
23,23,,287,1416,,,Kaoyu,China,119.4614,32.5618,119.475,32.575,171466,HYLAK,703.14,HYLAK,713.8,GLOFAS4,2601.4911,GLOFAS4_ltr
24,24,,291,1240,,,Buir,Mongolia,117.8094,47.9556,117.775,47.925,21579.1,HYLAK,598.48,HYLAK,5.4,GLOFAS4,16.8476,GLOFAS4_ltr
25,25,,300,1377,,,Ngoring,China,97.7849,35.1064,97.775,35.075,18713.7,HYLAK,617.76,HYLAK,207.8,GLOFAS4,16.7068,GLOFAS4_ltr
26,26,,320,332,,,Kaminuriak,Canada,-95.7932,62.7703,-95.725,62.725,10673,HYLAK,487.94,HYLAK,511.4,GLOFAS4,61.3577,GLOFAS4_ltr
27,27,,334,327,,,Artillery,Canada,-108.4632,62.8883,-108.425,62.875,48710.7,HYLAK,516.24,HYLAK,5.4,GLOFAS4,121.1174,GLOFAS4_ltr
28,28,,336,1385,,,Gyaring,China,97.3128,34.8109,97.275,34.825,9516.1,HYLAK,520.58,HYLAK,211.4,GLOFAS4,6.4593,GLOFAS4_ltr
29,29,,430,301,,,Faber,Canada,-117.0802,63.8245,-117.475,64.025,2436.9,HYLAK,403.03,HYLAK,244,GLOFAS4,8.2072,GLOFAS4_ltr
30,30,,433,1033,,,Keta,Russia,89.5687,68.8104,89.625,68.825,2949.8,HYLAK,420.87,HYLAK,5.4,GLOFAS4,64.3167,GLOFAS4_ltr
31,31,,438,273,,,Schultz,Canada,-97.0205,64.7858,-96.975,64.775,156037,HYLAK,411.08,HYLAK,2503,GLOFAS4,802.7928,GLOFAS4_ltr
32,32,,449,293,,,Wharton,Canada,-99.4911,64.0405,-99.725,64.025,62456.1,HYLAK,412.11,HYLAK,1709.6,GLOFAS4,330.0446,GLOFAS4_ltr
33,33,,495,1008,,,Portnyagino,Russia,106.4802,74.1793,106.575,74.175,496.7,HYLAK,375.48,HYLAK,5.4,GLOFAS4,6.6706,GLOFAS4_ltr
34,34,,500,1203,,,Udyl',Russia,140.1135,52.1839,140.125,52.225,11798.9,HYLAK,327.21,HYLAK,166.3,GLOFAS4,141.2822,GLOFAS4_ltr
35,35,,502,1220,,,Bolon',Russia,136.5794,49.877,136.575,49.875,13021.3,HYLAK,323.6,HYLAK,182.5,GLOFAS4,231.0124,GLOFAS4_ltr
36,36,,531,1458,,,Liangzi,China,114.6007,30.2595,114.575,30.275,1168.3,HYLAK,302.36,HYLAK,5.4,GLOFAS4,54.4093,GLOFAS4_ltr
37,37,,536,1403,,,Bangong,China,79.0281,33.7456,79.075,33.725,22787.2,HYLAK,332.93,HYLAK,3119.3,GLOFAS4,35.4722,GLOFAS4_ltr
38,38,,539,1463,,,Longgan,China,116.2601,30.0145,116.225,29.975,3309.4,HYLAK,302.31,HYLAK,5.4,GLOFAS4,129.5848,GLOFAS4_ltr
40,40,,608,1191,,,Orel',Russia,139.8387,53.3423,139.825,53.325,5643.8,HYLAK,305.85,HYLAK,126.5,GLOFAS4,57.6784,GLOFAS4_ltr
41,41,,612,1207,,,,Russia,140.2191,51.6856,140.225,51.675,5075.7,HYLAK,281.07,HYLAK,1809,GLOFAS4,73.9041,GLOFAS4_ltr
42,42,,615,309,,,Ford,Canada,-97.195,63.5906,-97.125,63.625,56030.1,HYLAK,265.7,HYLAK,1104.2,GLOFAS4,353.8539,GLOFAS4_ltr
43,43,,620,1470,,,Dongting,China,112.9929,29.3482,112.975,29.325,3561.5,HYLAK,143.81,HYLAK,1751.2,GLOFAS4,106.499,GLOFAS4_ltr
44,44,,623,1461,,,Daguan,China,116.4693,30.0837,116.425,30.075,3895.2,HYLAK,261.58,HYLAK,5.4,GLOFAS4,121.6631,GLOFAS4_ltr
45,45,,627,1483,,,Dian Chi,China,102.6036,24.7828,102.625,24.775,2875.6,HYLAK,298.34,HYLAK,5.4,GLOFAS4,43.7907,GLOFAS4_ltr
47,47,,649,1477,,,P'u-mo-ts'o,China,90.4437,28.6224,90.425,28.625,1822.5,HYLAK,283.19,HYLAK,5.4,GLOFAS4,1.396,GLOFAS4_ltr
