FID,CONSTR_YEAR,DEMOL_YEAR,
1,1975,,
2,1958,,
3,1956,,
4,1954,,
5,1976,,
6,1942,,
7,1967,,
8,1981,,
9,1994,,
10,1977,,
11,1981,,
12,1971,,
13,1965,,
14,1968,,
15,1929,,
16,1950,,
17,1925,,
18,1918,,
19,1931,,
20,1953,,
21,1966,,
22,1972,,
23,1986,,
24,1965,,
25,1987,,
26,1984,,
27,1979,,
28,1973,,
29,1999,,
32,1970,,
33,1963,,
34,1967,,
35,1948,,
36,1952,,
37,1934,,
38,1954,,
39,1941,,
40,1977,,
41,1955,,
42,1964,,
43,,,
44,1972,,
45,1957,,
46,1978,,
47,1955,,
48,1932,,
50,1960,,
51,1960,,
52,1958,,
53,1952,,
54,1955,2023,
55,1970,,
56,,,
57,1953,,
58,1970,,
59,1970,,
60,1968,,
61,1965,,
62,1974,,
63,1959,,
64,1949,,
65,,,
68,1982,,
70,1981,,
71,1962,,
72,1952,,
74,,,
75,1980,,
76,2005,,
77,1972,,
78,1960,,
79,1968,,
80,1983,,
81,2001,,
82,1942,,
86,1958,,
87,2005,,
88,1943,,
89,1912,,
90,1975,,
91,1969,,
93,1956,,
94,1968,,
95,1965,,
96,1924,,
97,1928,,
98,1921,,
99,1914,,
100,1973,,
101,1970,,
103,1967,,
104,1957,,
106,1948,,
107,1966,,
108,1927,,
109,1949,,
111,1939,,
112,1948,,
113,1911,,
114,1884,,
115,1957,,
116,1885,,
117,2008,,
118,1927,,
119,1953,,
120,1916,,
121,1835,,
124,1922,,
125,1929,,
126,1963,,
127,1911,,
128,1879,,
129,1880,,
131,1909,,
132,1912,,
133,1915,,
134,1977,,
135,1921,,
136,1941,,
137,1963,,
138,1945,,
139,1988,,
140,1927,,
141,1913,,
142,1978,,
143,1931,,
144,1966,,
145,1944,,
146,1963,,
147,1951,,
148,1959,,
149,1953,,
150,1940,,
151,1963,,
152,1951,,
153,1935,,
155,1962,,
156,1963,,
158,1964,,
162,1953,,
164,1940,,
165,1962,,
166,1958,,
167,1930,,
168,1944,,
169,1954,,
170,1954,,
171,1942,,
172,1942,,
173,1921,,
174,1960,,
175,1926,,
176,1966,,
177,1987,,
178,1962,,
179,1966,,
180,1965,,
181,1969,,
182,1969,,
183,1964,,
184,1953,,
185,1971,,
186,1963,,
187,1955,,
188,1986,,
189,1964,,
190,1974,,
191,1912,,
192,1975,,
193,1957,,
194,1988,,
196,1983,,
197,1969,,
198,1986,,
199,1936,,
200,1986,,
201,2002,,
202,1998,,
203,1962,,
204,1980,,
205,1982,,
206,1978,,
207,1994,,
208,1979,,
211,1956,,
212,1975,,
213,1999,,
214,1963,,
216,1982,,
217,1975,,
218,1963,,
220,1976,,
221,1971,,
222,1962,,
223,1975,,
224,1972,,
226,1980,,
227,1967,,
228,1972,,
229,1973,,
231,1946,,
232,1982,,
233,1989,,
234,1977,,
235,1977,,
236,1973,,
237,1993,,
238,1970,,
239,1965,,
240,1960,,
241,1970,,
242,1967,,
243,1972,,
245,1989,,
246,1955,,
247,1970,,
248,1960,,
249,1963,,
250,1959,,
251,1957,,
252,1950,,
253,1956,,
254,1969,,
255,1936,,
256,1974,,
258,1957,,
259,1955,,
260,1958,,
261,1991,,
262,1971,,
263,1858,,
264,1941,,
265,1908,,
266,1926,,
267,1940,,
268,1963,,
269,1937,,
270,,,
271,1990,,
272,1927,,
274,1958,,
276,1964,,
277,,,
283,1973,,
284,1975,,
286,1941,,
287,1978,,
288,1965,,
289,1953,,
290,1960,,
291,1943,,
292,1957,,
293,1960,,
294,1959,,
295,1970,,
296,1974,,
297,1987,,
298,2002,,
299,1992,,
300,,,
301,1983,,
302,1986,,
303,1995,,
304,1959,,
305,1968,,
306,1978,,
307,1961,,
308,1991,,
309,1960,,
310,1983,,
311,1976,,
312,1967,,
313,1973,,
315,1974,,
316,2003,,
317,1960,,
318,1972,,
319,1996,,
322,1992,,
323,1968,,
324,,,
325,1960,,
326,1962,,
327,2006,,
328,1960,,
329,2001,,
330,1988,,
331,1990,,
332,1967,,
333,1962,,
334,2006,,
335,1971,,
336,1957,,
337,1972,,
338,1971,,
339,1976,,
340,1997,,
341,1977,,
342,1972,,
343,1931,,
344,1977,,
345,1981,,
346,1974,,
347,,,
348,1964,,
349,1966,,
350,1969,,
351,1960,,
352,2000,,
354,1988,,
355,5000,,edited according to https://jira.smhi.tds.tieto.com/browse/JRC-6490 
356,1953,,
358,1971,,
360,1999,,
361,1985,,
362,1978,,
363,1965,,
365,1983,,
366,1988,,
367,1934,,
369,1982,,
370,1992,,
371,1974,,
373,1987,,
374,1984,,
376,1988,,
377,1984,,
378,1973,,
380,1983,,
381,1987,,
382,1960,,
383,1987,,
384,1972,,
385,1971,,
386,1980,,
387,1988,,
388,1974,,
389,1978,,
390,1985,,
391,1966,,
392,1980,,
393,1975,,
394,2004,,
395,1953,,
396,1930,,
397,1978,,
398,1971,,
399,,,
400,1959,,
401,1987,,
402,1972,,
403,1976,,
404,1938,,
405,1985,,
406,1984,,
407,1981,,
408,1979,,
409,,,
410,1936,,
411,1958,,
412,1967,,
413,1974,,
415,1976,,
416,1959,,
417,1975,,
419,1952,,
420,,,
428,1962,,
432,1972,,
435,1942,,
437,1969,,
440,1955,,
441,1960,,
446,1954,,
447,1967,,
448,1954,,
449,1984,,
451,1949,,
453,1958,,
459,1991,,
461,2008,,
463,1951,,
467,1911,,
470,1959,,
472,1991,,
475,1948,,
480,1949,,
481,1953,,
482,1938,,
485,1959,,
487,1938,,
489,1936,,
491,1952,,
492,1982,,
493,1956,,
495,1924,,
505,1959,,
513,1952,,
519,1956,,
522,1932,,
523,1942,,
530,1948,,
534,1930,,
535,1945,,
540,1954,,
548,1968,,
549,1973,,
556,1921,,
568,1930,,
570,1926,,
571,1958,,
578,1953,,
579,1931,,
582,1923,,
584,1941,,
591,1927,,
592,1934,,
595,1967,,
602,1942,,
606,1965,,
607,1937,,
613,1948,,
614,1967,,
627,1911,,
633,1915,,
636,1958,,
645,1964,,
649,1947,,
651,1909,,
652,1967,,
669,1949,,
672,1953,,
681,1913,,
683,1931,,
694,1951,,
696,1946,,
699,1956,,
700,1930,,
707,1911,,
716,1976,,
720,1957,,
721,1909,,
724,1939,,
727,1938,,
730,1954,,
731,1964,,
733,1916,,
734,1910,,
737,1965,,
740,1958,,
743,1933,,
744,1926,,
747,1969,,
749,1965,,
756,1972,,
757,1962,,
758,1967,,
759,1963,,
760,1993,,
763,,,
764,1973,,
769,1952,,
770,1977,,
771,1949,,
772,1972,,
775,1952,,
783,1963,,
785,1968,,
786,1983,,
788,1976,,
790,1968,,
791,1915,,
793,1974,,
794,1970,,
795,1955,,
796,1979,,
797,1970,,
798,1914,,
800,1962,,
801,1969,,
803,1967,,
804,1965,,
805,1964,,
806,1977,,
809,1955,,
811,1963,,
812,1966,,
813,1948,,
814,1972,,
815,1957,,
816,1965,,
821,1974,,
822,1964,,
824,1963,,
826,1963,,
827,1974,,
828,1943,,
829,1971,,
830,1972,,
831,1983,,
832,1979,,
833,1961,,
834,1981,,
835,1963,,
837,1971,,
838,1969,,
839,1959,,
841,1966,,
842,1983,,
843,1963,,
844,1966,,
845,1969,,
847,1939,,
848,1967,,
849,1964,,
850,1942,,
851,1973,,
852,1941,,
853,1964,,
854,1983,,
855,1954,,
856,1962,,
857,1941,,
858,1976,,
859,1970,,
861,1935,,
862,1943,,
863,1950,,
867,1963,,
870,1948,,
874,1944,,
875,1963,,
877,1936,,
878,1941,,
879,1967,,
880,1964,,
882,1951,,
883,1948,,
885,1981,,
887,1949,,
889,1965,,
891,1957,,
892,1919,,
893,1965,,
894,1974,,
895,1953,,
896,1927,,
897,1952,,
900,1944,,
902,1940,,
903,1963,,
906,1964,,
908,1952,,
909,1970,,
911,1940,,
912,1947,,
913,1979,,
919,1949,,
922,1971,,
924,1961,,
925,1943,,
927,1982,,
938,1977,,
939,1969,,
941,1940,,
942,1965,,
943,1952,,
944,1950,,
945,1967,,
947,1986,,
948,1974,,
949,1961,,
951,1992,,
954,1966,,
955,1923,,
956,1966,,
957,1911,,
958,1945,,
960,1986,,
961,1980,,
962,1991,,
966,1983,,
967,1931,,
968,1929,,
969,1953,,
971,1954,,
974,1953,,
975,1952,,
977,1974,,
978,1937,,
979,1932,,
980,1941,,
981,1962,,
982,1980,,
984,1969,,
986,1958,,
988,1961,,
989,1914,,
991,1951,,
992,1986,,
994,1952,,
995,1925,,
997,1965,,
998,1969,,
999,1941,,
1004,1971,,
1006,1963,,
1007,1936,,
1008,1969,,
1010,1951,,
1012,1933,,
1013,1965,,
1014,1989,,
1015,1952,,
1016,1962,,
1017,1978,,
1019,1954,,
1020,1968,,
1022,1937,,
1025,1979,,
1027,1951,,
1028,1942,,
1029,1942,,
1031,1973,,
1032,1967,,
1034,1954,,
1035,1964,,
1038,1913,,
1041,1991,,
1042,1948,,
1043,1968,,
1044,1964,,
1045,1981,,
1048,1981,,
1051,1949,,
1052,1964,,
1053,1958,,
1055,1952,,
1057,1916,,
1058,1932,,
1060,1955,,
1062,1995,,
1063,1956,,
1064,1967,,
1065,1946,,
1066,1982,,
1067,1994,,
1068,1947,,
1069,1969,,
1070,1964,,
1071,1982,,
1072,1948,,
1073,1981,,
1074,1985,,
1077,1994,,
1078,1972,,
1079,1976,,
1081,1994,,
1084,1949,,
1085,1935,,
1086,1976,,
1088,1986,,
1089,1944,,
1090,1984,,
1091,1978,,
1092,1985,,
1094,1986,,
1097,1961,,
1098,1984,,
1099,1964,,
1100,1973,,
1106,1978,,
1107,1978,,
1108,1977,,
1111,1968,,
1113,1983,,
1115,1978,,
1116,1938,,
1118,1973,,
1119,1988,,
1121,2000,,
1122,1983,,
1123,1976,,
1124,1994,,
1125,1962,,
1126,1971,,
1127,1985,,
1128,1984,,
1130,1987,,
1133,1958,,
1134,1981,,
1135,1958,,
1136,1975,,
1137,1981,,
1138,1961,,
1139,1899,,
1140,1942,,
1141,1956,,
1142,1987,,
1143,1956,,
1148,1967,,
1152,1970,,
1154,2005,,
1157,1995,,
1159,1960,,
1161,2003,,
1162,2003,,
1165,1997,,
1167,1998,,
1174,1960,,
1175,1966,,
1181,1958,,
1184,1981,,
1186,1971,,
1187,1960,,
1189,1914,,
1192,1928,,
1193,1973,,
1194,1972,,
1196,1992,,
1197,1991,,
1198,1980,,
1199,2000,,
1200,2002,,
1201,1954,,
1203,1967,,
1206,1981,,
1207,1953,,
1208,1936,,
1209,1984,,
1211,1960,,
1212,2003,,
1215,1947,,
1216,1985,,
1217,1957,,
1221,1976,,
1222,1963,,
1225,1964,,
1228,1972,,
1231,1966,,
1233,1967,,
1239,1974,,
1241,1985,,
1252,1963,,
1254,1963,,
1255,1991,,
1256,1956,,
1257,1951,,
1258,2006,,
1259,1950,,
1260,1952,,
1262,1969,,
1265,,,
1266,1972,,
1275,1966,,
1276,1970,,
1280,1974,,
1282,1944,,
1285,1962,,
1288,1974,,
1289,1961,,
1296,1946,,
1298,1966,,
1301,1946,,
1302,1908,,
1316,1968,,
1326,1962,,
1331,1959,,
1333,1974,,
1336,,,
1339,1977,,
1348,1968,,
1350,1957,,
1352,1975,,
1353,1963,,
1355,1968,,
1356,1953,,
1357,1958,,
1358,1976,,
1362,1960,,
1364,1981,,
1370,1969,,
1371,1979,,
1373,1954,,
1374,1961,,
1375,1968,,
1382,1960,,
1387,1975,,
1391,1965,,
1395,1974,,
1400,1986,,
1401,1974,,
1402,1967,,
1403,1973,,
1404,1974,,
1406,1978,,
1407,1945,,
1408,1988,,
1410,2003,,
1411,1963,,
1413,1964,,
1418,1986,,
1420,1976,,
1422,1963,,
1423,1959,,
1424,1970,,
1425,1964,,
1427,1956,,
1429,1963,,
1430,1959,,
1431,1974,,
1432,1979,,
1433,1969,,
1435,1963,,
1437,1969,,
1440,1960,,
1441,1964,,
1442,2003,,
1448,1976,,
1449,1977,,
1450,1957,,
1451,1948,,
1453,1934,,
1454,1969,,
1455,1971,,
1456,1966,,
1457,1988,,
1458,1995,,
1459,1972,,
1460,1970,,
1462,1972,,
1464,1969,,
1466,1972,,
1468,1963,,
1471,1983,,
1475,1980,,
1476,1960,,
1477,1934,,
1478,1981,,
1479,1938,,
1480,1956,,
1481,1988,,
1482,1966,,
1483,1957,,
1484,1979,,
1486,1981,,
1488,1974,,
1489,1989,,
1490,1954,,
1491,1961,,
1492,1986,,
1493,1998,,
1495,1956,,
1496,1972,,
1497,1999,,
1499,1987,,
1500,1960,,
1501,1968,,
1502,1986,,
1503,1964,,
1505,1969,,
1506,1989,,
1509,1972,,
1510,1993,,
1512,1955,,
1513,1951,,
1514,1956,,
1519,1981,,
1520,1962,,
1521,1997,,
1524,1961,,
1525,1963,,
1526,1964,,
1527,1989,,
1528,1965,,
1529,1992,,
1530,1960,,
1531,1969,,
1532,1960,,
1533,1960,,
1535,1976,,
1537,1980,,
1538,1997,,
1540,1969,,
1542,1968,,
1543,1997,,
1545,1999,,
1546,1993,,
1547,1996,,
1548,1944,,
1549,1996,,
1550,1972,,
1553,1961,,
1555,1973,,
1556,1968,,
1559,1967,,
1561,1993,,
1562,1984,,
1565,1968,,
1566,1991,,
1567,1989,,
1569,1959,,
1570,1969,,
1571,1984,,
1572,1997,,
1576,1956,,
1577,1986,,
1581,1961,,
1583,1917,,
1584,1981,,
1585,1977,,
1586,1993,,
1587,1981,,
1588,,,
1589,1971,,
1593,1970,,
1594,1997,,
1596,1988,,
1597,1960,,
1599,1959,,
1601,1960,,
1604,1989,,
1606,1970,,
1608,1979,,
1610,2002,,
1612,1962,,
1614,1967,,
1615,1968,,
1616,1996,,
1617,1981,,
1620,1992,,
1621,1965,,
1622,1973,,
1623,1983,,
1624,1935,,
1625,1974,,
1626,1960,,
1627,1959,,
1628,1959,,
1630,1993,,
1631,1958,,
1633,1970,,
1636,1978,,
1637,1962,,
1639,1996,,
1641,2001,,
1642,1979,,
1645,1952,,
1647,1959,,
1648,1953,,
1649,1976,,
1654,1952,,
1655,2004,,
1656,1976,,
1659,1956,,
1661,1958,,
1662,1982,,
1663,1958,,
1664,1968,,
1666,1963,,
1667,1970,,
1669,1954,,
1670,1970,,
1675,1966,,
1678,1972,,
1682,1960,,
1684,1971,,
1685,1976,,
1686,1994,,
1687,2006,,
1690,1972,,
1693,1959,,
1694,1970,,
1696,1957,,
1700,1966,,
1701,1974,,
1704,1988,,
1705,1974,,
1708,,,
1709,1968,,
1710,,,
1713,1995,,
1718,1979,,
1719,1985,,
1720,2000,,
1722,1962,,
1723,1989,,
1727,1960,,
1728,1960,,
1729,1969,,
1731,1983,,
1732,1960,,
1733,1983,,
1735,1995,,
1736,2000,,
1737,1980,,
1741,1959,,
1742,1958,,
1743,1990,,
1744,1969,,
1745,1970,,
1749,1970,,
1751,1975,,
1753,1993,,
1755,1957,,
1767,1979,,
1769,1972,,
1771,1964,,
1776,2000,,
1779,1973,,
1780,1992,,
1782,1966,,
1783,2001,,
1787,1975,,
1788,1953,,
1789,1730,,
1790,1955,,
1792,1966,,
1794,1955,,
1795,1962,,
1798,1957,,
1799,1976,,
